Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
maxDcb/C2TeamServer,Release/Beacons/BeaconDns.exe,PE32+ executable (console) x86-64; for MS Windows; 7 sections,master,T1BEB46C9DA26802F4E0BBD138C982454FE6F278164B71A70F07E547B61F372625A3F752,0,N/A,6ee0e08a6f8c546b610c47602cf61b2e49d8018fb62b31e4204cee3d76a2113e,fce566acf93eee784350269ddcde81c8,2024-04-16T14:58:57Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconDns.exe,PE32+ executable (console) x86-64; for MS Windows; 7 sections,0.0.1,T11BB46C9DA6A802F4E0BBD13CC982454FE6F278158B71A30F07E547B65F332925A2F752,12,0,7e85b04c48e98d3c0270ece78a113b787469cb89ed63a97e26bfb5cfbff7bd7d,fce566acf93eee784350269ddcde81c8,2024-05-13T17:57:15Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconDns.exe,PE32+ executable (console) x86-64; for MS Windows; 6 sections,0.1.0,T1B9945B5EE66800F4D1B7D17DCA97890BE6B1344DC771D38F13EA87A62F23291A93A701,79,712,7d06f998b79a3f73978c11b4dd3f49d808b8a651c323b7b80a7a511f5edb4ae5,0d8c2011bb77743df64f8ff19d2d9f4a,2024-05-27T14:25:22Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconDns.exe,PE32+ executable (console) x86-64; for MS Windows; 6 sections,0.1.1,T17B944B1EE65800F8D1B7D17DCA978907E6B1384D8771D3CF13EA87A66F232916A3A701,12,2,8e887df15d1b9975184f6691671819fb7b092f54505ca73686051246c1db73c0,4fb287b566d124027136d050bc818ddf,2024-07-19T10:38:53Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconDns.exe,PE32+ executable (console) x86-64; for MS Windows; 6 sections,0.2.2,T1B8B46D9DA7A802F4E1B7D238C9C34507D6B278458B71A70F07E547B62F332629A2F752,104,30,b0adc8c15b050dfe2aabe269066928f86cc6e3a405d334329b23e10886209a4a,66678c930a0a659c9e3a02b925fb024b,2024-09-05T07:26:45Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconGithub.exe,PE32+ executable (console) x86-64; for MS Windows; 7 sections,master,T130B46D9EF3A401F4E1B7D278C983550BE6B178158B71970F03E547B62F332A29A2E752,0,N/A,d321cbba06f353c643440fadbb71805f3150f9ebe940f3c0c57a36a76fd8ff15,1b04d96440da6d05c0e749f2ed9a0821,2024-04-16T14:58:57Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconGithub.exe,PE32+ executable (console) x86-64; for MS Windows; 7 sections,0.0.1,T1B2B46C9EA3A401F5E0B7D23CC982550BE6B278058B71974F03E547B76F332629E2E752,16,0,a119a9c3bc2afb5c3f923b7f2808e89f0df734a9289d92ee9c25f91d930913e2,1b04d96440da6d05c0e749f2ed9a0821,2024-05-13T17:57:15Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconGithub.exe,PE32+ executable (console) x86-64; for MS Windows; 6 sections,0.1.0,T1CC944A5FE65804F8D1ABD17DC997890BE2F1344D8771938F07EA43B66F231A1AA3A701,101,712,7c73b8881a2959bd72511c39177cc4c818092c4571d2dde9f6ca3b9864e5f80c,46699f8deedaa717bd54500f004b4302,2024-05-27T14:25:22Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconGithub.exe,PE32+ executable (console) x86-64; for MS Windows; 6 sections,0.1.1,T140945A5EF7A801F4E067D17DC987890BE6B1384D8772D38F17E983A62F232915A3A741,30,2,ad6352e56742d498026f5532adfda69f38aecb2db986c5895bbcf18ee740eca6,d99c771b1aff56e8bedf69df68b99e34,2024-07-19T10:38:53Z,https://github.com/maxDcb/C2TeamServer
maxDcb/C2TeamServer,Release/Beacons/BeaconGithub.exe,PE32+ executable (console) x86-64; for MS Windows; 6 sections,0.2.2,T126B46D9DA36803F4E1BBD27CC983450BE6B1784687719B0F07E547B62F332629A2E751,90,30,5f898e4d134e1ef44f2b7c139f9f2beb2dd50a353713887876af7f361f8ada4b,af6bd2ea1b50859306d28c72eb03bd55,2024-09-05T07:26:45Z,https://github.com/maxDcb/C2TeamServer
