Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,SHA256 Hash,Imphash,Date Added,Intel
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",0.9,T108C44B6163FD4608F2F7AF31A9B415244AF6BC96AD39DA4C0E0150DE1A71F42EC72B63,7,2b3c71c9430092f6b3d0c8675d99eee23b80410612971e902245176baf46c9cb,f34d5f2d4577ed6d9ceec516c1f5a744,2022-03-15T07:07:29Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.4,T132C44B5163FD4608F2F7AF31A9F415204AF6BC9AA939DA4C0E0150DE1A71F42EC72B67,7,601cbe74d7aed23f52bae7d326f08b86665c167b3d14fedfa545efb5a6e56d83,f34d5f2d4577ed6d9ceec516c1f5a744,2022-03-16T11:36:04Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.11,T132C44B5163FD4608F2F7AF31A9F415204AF6BC9AA939DA4C0E0150DE1A71F42EC72B67,11,601cbe74d7aed23f52bae7d326f08b86665c167b3d14fedfa545efb5a6e56d83,f34d5f2d4577ed6d9ceec516c1f5a744,2022-03-18T11:00:15Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.13,T1FFC44B6163FD460CF2F7AF31A9B415204AF6BD9AA939DA4C0A0154DD0A71F42EC72B73,20,29487e77a2dfcc7b58d901ed412c86d7b99569f640dc3b8a81a611bbf8f7c1d3,f34d5f2d4577ed6d9ceec516c1f5a744,2022-04-06T07:30:34Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.16,T1C2C43B6163FD4648F2FBAF31A9F4252049F7BC9AA939DA4C0E1150CD1A71F42AD72723,20,bc7f0c671c1035f9af93b7b657005fbc4807deef8071bc58bf310f821cf67944,f34d5f2d4577ed6d9ceec516c1f5a744,2022-07-13T04:35:53Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.19,T1C2C43B6163FD4648F2FBAF31A9F4252049F7BC9AA939DA4C0E1150CD1A71F42AD72723,5,bc7f0c671c1035f9af93b7b657005fbc4807deef8071bc58bf310f821cf67944,f34d5f2d4577ed6d9ceec516c1f5a744,2022-07-13T04:40:48Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.21,T118C43B5063FD4648F2FBAF31A9F4256049F7BC9AA939DA4C0E1150CD1A71F42AD72B23,6,b5e916565fc5a539fd8e96436a17c57e38fbec58d8bc8a450596fd03c343a774,f34d5f2d4577ed6d9ceec516c1f5a744,2022-07-13T04:51:57Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.23,T15FC44B5063FD4648F2FBAF31A9F425204AF7BC9AA939DA4C0E1150CD1971F42AD72B27,6,1be348a72f9fc11fe85f58866d0deeaf3798b300130493da6907f9d1213a9328,f34d5f2d4577ed6d9ceec516c1f5a744,2022-07-13T04:56:18Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.26,T15FC44B5063FD4648F2FBAF31A9F425204AF7BC9AA939DA4C0E1150CD1971F42AD72B27,3,1be348a72f9fc11fe85f58866d0deeaf3798b300130493da6907f9d1213a9328,f34d5f2d4577ed6d9ceec516c1f5a744,2022-07-13T04:57:44Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.28,T1E9C44B5063FD4648F2FBAF31A9F4252049F7BC9AA939DA4C0E1150CD1A71F42AD72B27,3,c8b7754a7e593daafe1fc7804731fca139ace13fdcf3842ceada5d97f0a358cf,f34d5f2d4577ed6d9ceec516c1f5a744,2022-07-14T06:55:32Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.31,T1E9C44B5063FD4648F2FBAF31A9F4252049F7BC9AA939DA4C0E1150CD1A71F42AD72B27,3,c8b7754a7e593daafe1fc7804731fca139ace13fdcf3842ceada5d97f0a358cf,f34d5f2d4577ed6d9ceec516c1f5a744,2022-07-14T07:03:36Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.34,T1E9C44B5063FD4648F2FBAF31A9F4252049F7BC9AA939DA4C0E1150CD1A71F42AD72B27,1,c8b7754a7e593daafe1fc7804731fca139ace13fdcf3842ceada5d97f0a358cf,f34d5f2d4577ed6d9ceec516c1f5a744,2022-09-24T11:15:49Z,https://github.com/Group3r/Group3r
Group3r/Group3r,Group3r.exe,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows, 3 sections",1.0.36,T16AC44B5063FD4648F2FBAF31A9F4252049F7BC9AA939DA4C0E1150CD1A71F42AD72B27,5,845cd5a8ab75cc81e6048537fb516fb92e50b586d67927d7be9fc10a620d7025,f34d5f2d4577ed6d9ceec516c1f5a744,2022-09-24T11:22:21Z,https://github.com/Group3r/Group3r
