Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.0.0,T107364C43FA6224AED979CD30825EA133F739B40942225B2B37D49B303E55A314F9E7E5,0,N/A,dce6c6a7be3645e2ae17fbad4bde86b54d0c28282b5f2fc213f845595f497cc5,N/A,2022-02-27T19:10:06Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.1.0,T136165B2ABB516559D257C13053DE87B2AB31F83913357B2F2384AB313E26DA01B4D39B,119,1548,14977650939f1118a44d059b9bc8642ccc01ac4ef9c2562c332c6e8823c461d9,N/A,2022-03-23T07:19:49Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.1.0,T103364C43FAA324AEC979C930865DA133F739B41942226B2B37D48B303E55A314F9D7E5,11,1548,5c7e297ff2922f577344e0c5a9dacf2bdd8770c9e722977800c783fc8272ce95,N/A,2022-03-23T07:19:49Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.2.0,T1EE266B2BBA61A469D157C13413DF87B2A731F82953353B5F2390A7313E26DA01B4E39B,23,1259,980004159211450210c8510d3ee71c43921c7712b3fa7595a4d53778dc66f6c1,N/A,2022-04-20T17:05:59Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.2.0,T155470937E7641660C3C7057049CF8BD82B12F7308526E6E71A76DA674EA1906EF8DB83,423,1259,5503e60f57b7c3d2ec4e846a56043d05ddc068d173b25c88a48452cee2dbf307,N/A,2022-04-20T17:05:59Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.2.0,T1903809116ED89760C3F79AB78C6E92543730B77EF71D4A73083CD2B84490295FAAA748,660,1259,960017498c211abd228e9a7838175eacdb60c5793fba790f03f6e14a21517125,N/A,2022-04-20T17:05:59Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.2.0,T1E7464D43F6A318AED97AC930864EA533F630F41966166B2777C49B303E1AA304F4E7D5,134,1259,f2549035dbb817434c27dce4d01f5e7112e401d55efbf466d492631e1210c2b9,N/A,2022-04-20T17:05:59Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.2.1,T132265B2BBA61A469D157C13413DF87B2A731F82A53353B5F2390A7313E26DA01B4D39B,4,55,1a0e4a80615c86b196f0e2c4da32195d82b02504290e3beaa6b8cd6b130a3357,N/A,2022-04-26T07:15:23Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.2.1,T157464C43F6E318AED97AC930824EA533F631F41966166B2777C49B303E1AA204F4E7D5,120,55,7bd7e4d116aa8de928a8945a3e19d6ee0d6d12b48f602da9c970e69c71110c66,N/A,2022-04-26T07:15:23Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.2.1,T189470937E7641660C3C7057049CF8BD82B12F7308526E6E71A76DA674EA1906EF8DB83,426,55,99960e79c6d080fd3973fa3a9ec378194ddd7829ac0c627bf44d14fd62448873,N/A,2022-04-26T07:15:23Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.2.1,T1EC3809102ED89760C3FB9AB78C6E92453734B73EFB1D4A73083CD2B84490195FA6A759,663,55,956ee0bd079e240dc61b1e41eafdedf5939ba5e4503c33776668f1a3e1838613,N/A,2022-04-26T07:15:23Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.3.0,T11F265C2BBA916519C257C13057DF87B2AB31F82917257B2F2390A7313E26DA01B4E35F,24,514,5b674168b643a96e62a3f6cf11a120efc7c5905882e56bdb45cd75b63b3d4f14,N/A,2022-06-17T15:50:43Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.3.0,T18A471933E7641660C3C7057049CF8BD82B22F7318526E6E71A76DA674DA1906EF8DB83,402,514,b91000c4f03d0d316a253a8491139c3b9d30ba4638453b97ae1741e27ff001ff,N/A,2022-06-17T15:50:43Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.3.0,T1183809112DD88720C3FB9AB78C6EA2453735B77EFB1D4B73082CD2B84490594FA9A749,645,514,12d52c564406a3930ec633cb9b69be8e926021c8c282e023727327bb58b5692d,N/A,2022-06-17T15:50:43Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.3.0,T122464C03FAA3146ECABAC934D69E5133F631B41952116B3737D48B307E0AA704F5EAD6,114,514,566cab255f6e7bfbd5f3e03bd8d989fd6225a92322d124e2481f3c4328a1442c,N/A,2022-06-17T15:50:43Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.4.0,T14CA63B2BB652A458D157C07067DE9BF2AA31F83916353B1F3390A3322E66CE05B4D74B,144,1414,9a0af47ad1d89b0c825d70af254d959c7421af56a8881071a4ca1d282c15e855,N/A,2022-08-25T13:49:16Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.4.0,T1F7C8E7111DD88760C7B7DAF78C6AD2442771777FF75E17B31828C3B84890298FA9A24A,810,1414,49c604e16448e9e408303fa72bbd08b2ef69ce726d5f139e8a55a4e8d54dc965,N/A,2022-08-25T13:49:16Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.4.0,T1FAC65B47FAA2547DDABEC930864DA533F671BC0D41203A2B37D48B203E15A319F5EAE5,212,1414,96cf354935bd2a0be88cb0541ec2c86775d70820490a82cb3d185c15cb00f983,N/A,2022-08-25T13:49:16Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.4.0,T12FB71837A7641560C3C7057085CF8BD86B22E7318526E6FB2A35DA674EA1907EF4CB83,508,1414,a7d5667e40a1f475d9ff0e1ffb22880cb0ca3d8922ba71a2b27249ae5828e159,N/A,2022-08-25T13:49:16Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.5.0,T1B4C8E8116ED8C760C2B7DAF78C7AD2482771B76BF71E16B71828C3BC4490298FA5534A,662,955,ca962cf7d09f25fd3431b59d822d97228a13ea9a07726e52ff5d341b2bd85d18,N/A,2023-04-07T02:28:56Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v1.5.0,T1ABC62B43FA7214BEC9BAC834865EA573FA30BC4D41207A377BD49B203E15B209F5DA95,133,955,2da1bc98297d669b0866cd6e8666f84f4b77d0798614c9c8c9a140ab9e74da82,N/A,2023-04-07T02:28:56Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.5.0,T159B64B3B7661A458D257C07067DE9BF29621F43916353B2F2390A3332E26DE49B4E34B,21,955,995d987c76f2faaf9ae6d4350e89baee876b6cee40b820d738611c1aa0be4694,N/A,2023-04-07T02:28:56Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v1.5.0,T1C5A71937A7601160D3C305B09ACF8BC86B22E7318535E6EB2675D9274DB1947EB8DB83,345,955,7c40e55cdec6233af0268568e8b366d7d2a53adf2ef7c194f727b9cdd9718017,N/A,2023-04-07T02:28:56Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion.exe,PE32+ executable (GUI) x86-64 (stripped to external PDB); for MS Windows; 11 sections,v1.0.0,T1A8764B07F35620ADC16ED2748B5A5331FB317C8906257E7F1A98BA323E32B605B1E719,0,N/A,f0862a23edcb6355bef2471f8055bdd957c27992b7c415d32a1f8e5814dafb2c,d5696da8c3c9a05e8cbbf63a43e82231,2022-02-27T19:10:06Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion.exe,PE32+ executable (GUI) x86-64 (stripped to external PDB); for MS Windows; 11 sections,v1.1.0,T1A3765B07F35660ADC26EC2748B565331FA31BC8906257E7F1A94BB323E36B601B1E719,12,1548,768435d6dcbed1560fe4f864bde811794674c03cdfbf830965e6913605c41334,667f66d0d8e8cff7414e7c1c91157295,2022-03-23T07:19:49Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion.exe,PE32+ executable (console) x86-64; for MS Windows; 21 sections,v1.2.0,T1206809112EE88720C2B79BB74CAEA3553735B77EF72D4A730828C2F884D1195F65A748,637,1259,b038a59293cca13f030e4cd64c1e5384b8576eddda947fc543cefa90c22ed515,58a182e09db6af1d13ee91700ffa4008,2022-04-20T17:05:59Z,https://github.com/mttaggart/OffensiveNotion
mttaggart/OffensiveNotion,offensive_notion.exe,PE32+ executable (GUI) x86-64 (stripped to external PDB); for MS Windows; 11 sections,v1.2.0,T118864C07F35660ADC1AFC2749B565331FB35BC8406217E7F1A94BA323E32B605B1DA1A,20,1259,6091a26d2e47155bbaf01fc46ba48499a5d22ff1d3f8781aad5e8e4ba3ca8b40,e15ca81567ca4bee63431196e4aa4995,2022-04-20T17:05:59Z,https://github.com/mttaggart/OffensiveNotion
