Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:968a0a2,T1EB7482305F601838125EF054A4B6BC51EEB5802B19E52850FBFDC0B65F27A17EAFD29B,0,N/A,d31e9d0fae3849fa11b8ea8b0c5bb3d4a74ab05ee180692a736deb09c110d724,N/A,2016-06-22T17:16:11Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:3366056,T1807471305F601838125EF054A4B6BC51EEB5802B19E52850FBFDC0B65F27A17EAFD29B,3,51,8c17ebb0668746402550f100d63516add444fd1cd159a80709af90688efb5954,N/A,2016-06-22T17:27:56Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:514b327,T1328482305F601838125EF054A4B6BC51EEB5902B19E52840FBFDC0B65F27A17EAFD29B,6,197,b25cb993582736e723d8d5851c39658d4ce7bbc4f1c08b287821a1f652ff3a3d,N/A,2016-06-22T20:25:55Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:58752ba,T11C8482305F601838125EF064A4B6BC51EEB5902B15E52840FBFDC0B65F27A17EAFD29B,3,219,d5e4cf264fa3022c9bedae0fa6429e4c5f45f1c7556528a7316a431ba3d34b6d,N/A,2016-06-22T21:39:43Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:44f5765,T13D8482305F601838125EF064A4B6BC51EEB5902B15E52840FBFDC0B65F27A17EAFD29B,1,110,1ab98f6d89f69bfc386227f9cb532c97164272756d8c54fd66fab3f5ba46f272,N/A,2016-06-23T01:28:08Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:c552d15,T1748482305F601838125EF064A4B6BC51EEB5902B15E52840FBFDC0B65F27A17EAFD29B,1,21,9306b60925562686a8ffe9dacc101f7f43ae86b8437a800e713edf48f1182440,N/A,2016-06-23T13:47:14Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:57a3791,T1728482305F601838125EF064A4B6BC51EEB5902B15E52840FBFDC0B65F17B16EAFD29B,4,43,e97724f0494e4ff0fa9e4ddc0662749f9d48adf489b4943683212982d4fc0e7a,N/A,2016-06-23T13:54:39Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:339e225,T1598482315F601838125EF064A4B6BC51EEB5902B25E52800FBFDC0B65F17B17EABD29B,6,290,2d08b7714c73fca6fa87a79c8bf87a4f1e0535dec76dfd492016066ca272aa78,N/A,2016-06-23T20:48:51Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:465352e,T1B08482315F601838125EF064A4B6BC51EEB5902B25E52800FBFDC0B65F16B17EAFD29B,3,47,5e527afd883a444469a927e86f39cc8e1934bf47722c5edabb2b88762acce3bb,N/A,2016-06-23T21:26:47Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:8f54a07,T11A9483315F601874125EF064B4B6BC61EEB5902B25E52800FBFDC0B65F12B17EABD29B,9,437,c7f28230a8948e5c7e3db183772557e5eef6608801c56991deee0a4edb02e26a,N/A,2016-06-24T14:51:41Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:d778d27,T1EF94A3315F501874125EF064F5B7BC61EEA5A02B25E52800FBFDC0B65F12B16AAFD28B,23,384,efe2d40cf21b67452b0a2108a0ef4025152f2022c8532f9df79c727ec199ecb8,N/A,2016-06-24T18:14:37Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:d73abcc,T17994A4315F501874125EF064B5B7BC61EEA5A02B25E52800FBFDC0B65F13B16AAFD28B,4,80,4b1b7c9120d3352f26fd53a99dc14606711bceb9e4f386e1eb57ef122c280b4a,N/A,2016-06-24T18:41:12Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:12d9f95,T10394A4315F501874125EF164B5B7BC61EEA5A02B25E52800FBFDC0B61F13B16AAFD28B,3,120,da0daa635e3a4d31b553ba41c45915a4367fd31992b60d3a868b2a0ece8c5f09,N/A,2016-06-24T20:09:46Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:0558212,T1E294A4315F501874125EF164B5B7BC61EEA5A02B25E52800FBFDC0B61F13B16AAFD28B,1,29,c073256e37dccaf44e1d6d78fd92f71b82939d61c72b35a96cd182fc5f6f4062,N/A,2016-06-24T20:22:28Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:f29024c,T19CA4A4315F501874125EF064B5B7BC61EEA5A02B25E52800FBFDC0B65F13B16AAFD28B,4,144,ac219c3359f80c2fb6c162533acd422dda514b62cf1ed6c207cc16b851d64335,N/A,2016-06-24T22:16:47Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:bf1827c,T103A4A4315F501874125EF064F5B7BC61EEA5A02B25E52800FBFDC0B65F12B16AAFD28B,3,119,0b940b399d6fc314783f6db46f450b42ff51a9acc02447fbbaae2828446e15d1,N/A,2016-06-27T02:41:28Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:3105b2b,T186A4A4315F501874125EF064F5B7BC61EEA5A02B25E52800FBFDC0B65F12B16AAFD28B,1,70,3a8b0433b2bbe29b0b844701ff81c1e9af2b0dfad88712b03973571bd7ebf550,N/A,2016-06-27T02:54:54Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:023bfb0,T16DA4A4315F501874125EF064F4B7BC61EEA5A02B25E52800FBFDC0B65F12B16AAFD29B,3,47,b4e6040825f40d980f103d1a9f05ff9bf67dbdd30eab8c8c33c947a70a63e575,N/A,2016-06-27T03:04:20Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:f6f6dbd,T13CA4A4315F501874125EF064F4B7BC61EEA5A02B25E52800FBFDC0B65F12B16AAFD29B,1,37,eee0a66a9de4830f98dd32244e9e7626cbd548f351aed016d05d59aebc98ef82,N/A,2016-06-27T03:09:22Z,https://github.com/NetSPI/PowerUpSQL
NetSPI/PowerUpSQL,PowerUpSQL.ps1,ASCII text,git:f182e15,T19CA4A4315F501874125EF064F4B7BC61EEA5902B25E52800FBFDC0B65F22B16AAFD29B,3,31,022b414672cc1c364cdefc1324c7c9005384c8e70755cc9d3bd39f72c0468e65,N/A,2016-06-27T03:13:57Z,https://github.com/NetSPI/PowerUpSQL
