Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
Kevin-Robertson/Powermad,Invoke-DNSUpdate.ps1,C source; ASCII text,git:453646d,T1D1638481BB52C76963971A6872FA84153B3D8E2B5D853E04F3DE04C85F85E11ECE46EC,0,N/A,335ad85558c12d01b0db25749c2fd786b0fda77cecf5b49ce10983dcf4dbc814,N/A,2017-09-06T18:25:38Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Invoke-DNSUpdate.ps1,C source; ASCII text,git:dbcbf9a,T15B638481BB52C76963971A6872FA84153B3D8E2B5D893E04F3DE04C85F85E11ECE46EC,2,82,889a80df819ba5c78411f78d550ed5d149846ec215534bb6d85b593b984e2439,N/A,2017-12-03T16:20:35Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Invoke-DNSUpdate.ps1,ASCII text,git:2c25774,T1C9738385BB66C76123871A2473EA901437398E679E893E40F2DE04D86F06B51EDE43FC,39,6245,250053bac6a43341371518153ae9b2374734d5f2449b70bcf0ca4b665d97781b,N/A,2018-07-10T13:56:03Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Invoke-DNSUpdate.ps1,ASCII text,git:6a6da09,T168738385BB66C76123871A2473EA901437398E679E893E40F2DE04D86F06B51ECE43FC,2,64,954b9db4cb8b36a733079f1ee611e87a9b74ed03197a4b275776c232d6341828,N/A,2018-07-18T02:22:17Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Powermad.ps1,C source; ASCII text,git:b395a28,T18EC36311B2D862340AC714FCB99BE6085167D29BB4EC6C08FADD57C05F86664EFB438E,0,N/A,36c522babc3f5c97fe72aae042cdf6931ce30aa31d1f03bb1d023d843c5cfab6,N/A,2018-07-19T02:53:33Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Powermad.ps1,C source; ASCII text,git:0309c11,T15AC36311B2D862340AC714FCB99BE6085167D29BB4EC6C08FADD57C05F86664EFB438E,1,58,ff7f4d0b669b51e0dfacf5728270dff674b67cd8953dd600eee9dd6f293469e7,N/A,2018-07-22T03:08:14Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Powermad.ps1,C source; ASCII text,git:22f62e1,T1F9C36311B2D862340AC714FCB99BE6085167D29BB4EC6C08FADD57C05F86664EFB438E,1,4,1c43877e0e85f61e01e60b648929fbcd1795e4057e0f7748d98984b48d6e08da,N/A,2018-07-22T03:12:08Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Powermad.ps1,C source; ASCII text,git:1425e5a,T1ECC36311B2D862340AC714FCB99BE6085167D2A7B4EC6C08FADD57C05F86664EFB438E,3,38,542b0f42ca9b1b55dcdba760c2ed882a28daccf516a9ac5cd8d41fd90b506403,N/A,2018-08-01T03:03:12Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Powermad.ps1,C source; ASCII text,git:9b54aec,T1D9D35311B2D862340AC714FCB99BE6085167D2ABB4DC6C08FADD57C05F86664EFB438E,5,236,e4ac675d554efd80f9b677ed0b9514df66aa26026610b38fd9ad4333005c5f91,N/A,2019-08-29T14:59:08Z,https://github.com/Kevin-Robertson/Powermad
Kevin-Robertson/Powermad,Powermad.ps1,C source; ASCII text,git:ba445a3,T1AAD35311B2D862340AC714FCB99BE6085167D2ABB4DC6C08FADD57C05F86664EFB438E,1,32,3e0009375dafae4f4977c85be5f33ca3f1cd0903815053c0307cd32bd59abd49,N/A,2023-01-09T15:38:52Z,https://github.com/Kevin-Robertson/Powermad
