Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
itm4n/PrivescCheck,PointAndPrint.ps1,ASCII text; with very long lines (13652); with CRLF; LF line terminators,2025.08.26-1,T1D103F133653D95E1F7754C0EFDFA5CAA6F9009FB202D84DB7A92D390D48892C66C0C94,0,N/A,1ba016d2511daf75168f9eba6dadf781566490932cf586b2e3ce5be28379c20f,N/A,2025-08-26T20:13:02Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PointAndPrint.ps1,ASCII text; with very long lines (13652); with CRLF; LF line terminators,2025.08.28-1,T17503F132617D95A2F7B54C0EFDFA5CAA6E800DFB202DC4DF7A52D360D89856CA6C0C94,20,1037,ba7bcc09f88b24b1b3c61f7a76fc4bd43e323c736e7a59cfcc26085243135cec,N/A,2025-08-28T10:58:52Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PointAndPrint.ps1,ASCII text; with very long lines (13652); with CRLF; LF line terminators,2025.09.03-1,T11713F133713D89D1F7B14C1FADBA5D793E8009FB241C85EB7A92A790C49C9286AC0C94,44,9,a34e80f9ddd823f7e17cd9e8496563fb60e05c42cc4144bbd3f138edf51a6f9d,N/A,2025-09-03T20:11:47Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PointAndPrint.ps1,ASCII text; with very long lines (13444); with CRLF; LF line terminators,2025.11.08-1,T15503F13B332C49E0F375892938924D31BEC486EF2528D9DC774BA7D08B4DA50AAD1E70,92,1277,afa4346fe9235ab21c5180e5195205fdb2a502dd169064169ea755a6437698d3,N/A,2025-11-08T15:13:52Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (13652); with CRLF line terminators,2025.08.26-1,T1982422706E7CE56493AA561D625FBC4C1CF886FF4E9D24C33C7262E5195C808096FAF8,0,N/A,5721cd03e6310c7727b8ccc67ea24f25b09ee27d56fe71069ec26d8a2b831614,N/A,2025-08-26T20:13:02Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (13652); with CRLF line terminators,2025.08.28-1,T1A424237A4CBCAA8A93DDE104692FAC841D5489FA0CDC55C42A1BF2F7984C41119BFEB9,98,1037,bac84c3bfb56626af5b972eed68f36527f52bc68d348d5e6b350fd9cefc9a7c9,N/A,2025-08-28T10:58:52Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (13652); with CRLF line terminators,2025.08.28-2,T1A224237A4CBCAA8A83DDE115652FBC841D5489FE0CDC09C52A1BF2FB984C5111DBBDB8,17,277,ff8ac09c06e5c61e78b4c0dff6da5a4a8f80eaae3d6467ce5aa354d643216bb6,N/A,2025-08-28T17:36:30Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (13652); with CRLF line terminators,2025.09.01-1,T1FC242272A2BD6C1A93BD591ED7B24CC45C98C4EF180CDDDE3DB393A7A99C842C8906D4,139,1037,bdf4708ef00bdf65d171eb6a4c830de08b8b42f7510a5332543cc4027c49663b,N/A,2025-09-01T11:37:54Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (13444); with CRLF line terminators,2025.11.08-1,T1DB241264B76E2ED6831CCAAA78590D7FCFC0C0AA0109F9D9261F53AB564CF18DD317A4,145,1277,1735026bbc9cd16c75a3865b3edd051f7bc61e8c9dc4b46dbe20b25037148960,N/A,2025-11-08T15:13:52Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (13444); with CRLF line terminators,2025.11.09-1,T17B241264AB5D2EDB830D86BA3C580E7ECEE1C19B0108F9DA671E677B6548F14CD322D4,43,1928,c95942f7d69df737e10704aa37bb4c2f44ff47e0b54724ffee6163765267fd1b,N/A,2025-11-09T18:21:01Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (13444); with CRLF line terminators,2025.11.19-1,T164241274EB5D2ED7820D86BA3C580E7ECEE0C09B0109F9DA271E67AB6548B15CD322D4,13,1935,a3f88486473785eb3ef0f42a385a7fbf3c801e47ae6a352f6c47180cf65783a0,N/A,2025-11-19T14:06:09Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (15572); with CRLF line terminators,2025.12.24-1,T1B3241314BB9C2ECE534D5A0638852ADECCD0C9751145BEE8752EC3FB8248F26DE72395,88,2617,0e9ce8db1c16bf6d547ebcd151984cc5102f0d79e8dfd72bc5292f1bb3a94da6,N/A,2025-12-24T14:59:47Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (16404); with CRLF line terminators,2025.12.25-1,T104241231FBDC2CD902C8CD67AC8D1DAE4CE1C1794959BE62B91DA9BA400CF06DDB4368,88,3091,d22ced202702bacb65bed54201b5f716d92bff1c76cd13a5b992d44f69efada9,N/A,2025-12-25T17:52:30Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (16404); with CRLF line terminators,2026.01.14-1,T16B242331E7AD1DA8C4CCD803FCDD269E0DA0817E1D993717A81CBDD9718FA22DDA5168,92,3806,17ca5a709454f09eada01d119224d8d7d80e1f9db94445d205bd7f7d94af6336,N/A,2026-01-14T13:08:22Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (16404); with CRLF line terminators,2026.01.14-2,T160242331E7AE0DBCC4ECD503FCED279D0D90817B1D553A56D85CAADA72CEA26CDA0128,36,3813,7a930e980adb57ce2bf9e7ebf45d78d926350b0f31c51138f4abcaa9dfe122ef,N/A,2026-01-14T13:44:11Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (16404); with CRLF line terminators,2026.01.26-1,T15C242230F79E0DA8804CC603FD9A3BBE0D91817F05563B56E86CFAD5A78EB26DD90118,47,3883,0c3043fed78b70eb4518f9c4ef698b38b645a304eb65a740c92582b0eab8b8f8,N/A,2026-01-26T13:09:08Z,https://github.com/itm4n/PrivescCheck
itm4n/PrivescCheck,PrivescCheck.ps1,ASCII text; with very long lines (16404); with CRLF line terminators,2026.01.30-1,T1DA242330E3AE447181894E177C9B331C5D38C67E64A1399BB1EDBDDC9B4BA364EB6600,97,4761,66aaa879f36aca722de5331e3e6c054a733811e5725f0c595e5d3f8a247c4798,N/A,2026-01-30T13:31:31Z,https://github.com/itm4n/PrivescCheck
