Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
FrenchCisco/RATel,RATelGenerator.py,Python script; ASCII text executable,v0-beta,T160D19302182A85F94BD39B288E62B5634323544316A8591E78BDC3A27F45F32B6E1DFC,3,N/A,344820089dce693c2f04cfb207eafbf5311a9c105351b62ffe0ca0cd8fc77b87,N/A,2021-02-07T11:04:52Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,RATelGenerator.py,Python script; ASCII text executable,v0.1-beta,T16CD19302182A85F94BD397288E62B5634323544316A8591E78BDC3A27F41F32B6E1DFC,0,N/A,4f2a2976f68f0c2c8ff2ce339b78410cf65d8078a6340f8f0a7845d29889dc08,N/A,2021-02-20T10:47:32Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,payload/LunchMultiple.py,Python script; ASCII text executable,v0.1-beta,T109F0C003C7261A440753108B9DBA6527CFE2D11D5B535D99BA2CC3233F55D39F547811,0,N/A,ec789db2736260e7bf9e66d1045fb7a7717b77d94640f1869266968103bc02de,N/A,2021-02-20T10:47:32Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,server/RATelServer.py,Python script text executable Python script; ASCII text executable,v0-beta,T15F513300344559F547D3819A58BAC362522325470F91B9A9B4ECC3312FAEE7677E3B68,48,N/A,6cddd6e874644d8bd4d466dc80d6c259fe682223db0fd8df5ec12abe0f0132dc,N/A,2021-02-07T11:04:52Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,server/RATelServer.py,Python script text executable Python script; ASCII text executable,v0.1-beta,T14D516500340659F147D381DA48BAC362522325470F91B5A8B8ECC3352FAEEB277E3B68,0,N/A,eb8e4004125e38a35d5a9a9fa1c9e37b667e48947240800d8aeb3f410372dc7a,N/A,2021-02-20T10:47:32Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,server/scripts/broadcast.py,Python script; ASCII text executable,v0-beta,T103E12216247E3AF191774E3D4AC6C227632E691341253A3C3C9CC2EC2F15BA8C3E75A9,31,N/A,a7604bfce8f924e953405057c7607fe33ffa6a395b8fe092fde3701eb2178cbb,N/A,2021-02-07T11:04:52Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,server/scripts/broadcast.py,Python script; ASCII text executable,v0.1-beta,T16EF10216647E3AF192734A3D4AC68237732F681741253A383D9C82DC2F55BA8C3A75B9,0,N/A,174f87aaa6cc39a9e0f95340d2d841406a48db002b389e431bfc4d7bca9ce869,N/A,2021-02-20T10:47:32Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,server/scripts/handler.py,Python script; ASCII text executable,v0-beta,T191428500BC1211775367852A8566D2531B3578A722AC282C39BCC2DD3FA5AF4D7A6AF8,18,N/A,2296eb6ff465661f8c617754e7bd14356ae8c308cc5226f2ac3d240d7eefc968,N/A,2021-02-07T11:04:52Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,server/scripts/handler.py,Python script; ASCII text executable,v0.1-beta,T153427401BC1201775367852A85A7D2531B3568A7326C68283DBCC2C93F66AF4D7A6EF8,0,N/A,3e33cf3387ded2cf387cd993914189c8d705be5e80e52d26051202524cf3b618,N/A,2021-02-20T10:47:32Z,https://github.com/FrenchCisco/RATel
FrenchCisco/RATel,server/scripts/management.py,Python script; ASCII text executable,v0-beta,T143D16446BC3B317293E36435863AC09257353417272819AA7DACC2A83F706F0D6C27EC,12,N/A,06743959ee4f9a1d8e898f4bfd58366acec507bd94d3b076eb7b7b0a930b3905,N/A,2021-02-07T11:04:52Z,https://github.com/FrenchCisco/RATel
