Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; ASCII text executable; with very long lines (336),git:75cb6bf,T18593522A3C19F9B9221CC175018B6104E726415BCB666D2DB01FE0BC3F51EA932FE5FA,0,N/A,6d43fc309791885496219c0a9df13032e37c56a6a6c0cfe4a41565a154e794d2,N/A,2024-01-10T12:31:12Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; ASCII text executable; with very long lines (336),git:5c3e787,T17693522A3C19F9B9261CC175018B6104E726415BCB666D2DB01FE0BC3F51EA932FE5FA,2,11,02ae3daf61b26272dd37c49bf01e3222b47dcdd29d6f658a8e7be91c13bd5492,N/A,2024-01-10T13:17:50Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; ASCII text executable; with very long lines (336),git:7752f73,T13C93522A3C19F9B9261CC175018B6104E726415BCB666D2DB01FE0BC3F51EA932FE5FA,1,155,1a03b83d84b9279c6c41b44944a0c4ec6024c6bc4074d1f2f463b9febdf2b967,N/A,2024-01-12T00:12:58Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; ASCII text executable; with very long lines (336),git:3344bd9,T16393522A3C19F9B9261CC175018B6104E726415BCB666D2DB01FE0BC3F51EA932FE5FA,1,2,b73c6650b24e8fcfdbc4900c06c1a4301c58a603d1a799926a5d38fdf5e6ccb3,N/A,2024-01-12T00:14:00Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; ASCII text executable; with very long lines (336),git:4352016,T17293522A3C19F9B9261CC175018B6104E726415BCB666D2DB01FE0BC3F51EA932FE5FA,1,13,f35cb626536455ae98b869e2364efeb26ea585f535e2b3e8cbb5720d5759d6cc,N/A,2024-01-23T18:35:57Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; ASCII text executable; with very long lines (336),git:1a689d4,T15A93522A3C19F9B9261CC175018B6104E726415BCB666D2DB01FE0BC3F51EA932FE5FA,1,2,5843d6529bb40d165057f7aaacc3fd035a1ba78d96ec047c71e2c5069ec8403a,N/A,2024-01-23T18:40:31Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; ASCII text executable; with very long lines (336),git:e999299,T16193522A3C19F9B9261CC175018B6104E726415BCB666D2DB01FE0BC3F51EA932FE5FA,1,7577,ee38d272ec2c20e8cdb602b4707b881d847f8357462c44602dc6176882325f51,N/A,2024-03-11T11:56:36Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; Unicode text; UTF-8 text executable; with very long lines (336),git:1dc526b,T13493612A3C19E9B9225CC175018B6104E726415BCB666D2DB01FE0BC3F51EE932FE5FA,7,15274,3ce5b3fe3d07faec682e072f20f2f9f8607496697caa1efdbfa69cc30abbc148,N/A,2025-07-22T12:02:38Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; Unicode text; UTF-8 text executable; with very long lines (336),git:be45866,T11493612A3C19E9B9225CC175018B6104E726415BCB666D2DB01FE0BC3F51EA932FE5FA,2,2,e850b251a8aa73f84687aff3a31a6042ac5e7c00630c3e7a595e1072ca0eb0a5,N/A,2025-07-22T12:03:27Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; Unicode text; UTF-8 text executable; with very long lines (336),git:4dae7cd,T1B993612A3C19E9B9225CC175018B6104E726415BCB666D2DB01FE0BC3F51EE932FE5FA,2,37,288b31b0bd39150040b38272db87382c2a8e832d584ebbb6d86ab61f047a2c8f,N/A,2025-07-25T10:44:54Z,https://github.com/TH3xACE/SUDO_KILLER
TH3xACE/SUDO_KILLER,SUDO_KILLERv3.sh,Bourne-Again shell script; Unicode text; UTF-8 text executable; with very long lines (336),git:d4c3c55,T10093612A3C19E9B9265CC175018B5100E726415BCB666D2DB01FE0BC3F51EE932FE9FA,5,85,5a5a0657dcf5e52fce7ff6ad331b4e655cbaada15029f2eb4b3abca066d0682c,N/A,2025-07-25T12:42:11Z,https://github.com/TH3xACE/SUDO_KILLER
