Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
0xbadjuju/Tokenvator,Tokenvator.exe,PE32 executable (console) Intel 80386 Mono/.Net assembly; for MS Windows; 3 sections,v1.0.0,T184C2E842F7E48425F6FE4774E9F241204772B5430A3BCB6E01DA00DE9AA628187777B3,0,N/A,98f9bd2e20c6775d0e88506874525e32a1e21461bb0a5e09b72c519b5bd9ec74,f34d5f2d4577ed6d9ceec516c1f5a744,2017-12-08T01:26:36Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator.exe,PE32 executable (console) Intel 80386 Mono/.Net assembly; for MS Windows; 3 sections,v1.3.0,T1E0330701B3E44669F4FF0B799CF1064016B5B8971E38DB5F09CA40EE5AA17D24636BB3,165,3563,c8a69287c872aae87f08503c1617a23f853d6c844d84d0d5751df602cae717d2,f34d5f2d4577ed6d9ceec516c1f5a744,2018-05-07T19:52:48Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator.exe,PE32 executable (console) Intel 80386 Mono/.Net assembly; for MS Windows; 3 sections,v1.3.1,T1A5331802B7E84669F4FF0B399CF1060116B4F8971E38DB6E09C640DE59B17D24676BA3,19,32,6f1a23e8a5d4a80a1f81aa234ee523b1a2ea8b2bd07f082c9bc9c924889a160a,f34d5f2d4577ed6d9ceec516c1f5a744,2018-05-08T17:19:54Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator.exe,PE32 executable (console) Intel 80386 Mono/.Net assembly; for MS Windows; 3 sections,2.0.0,T149A33A127BE9468DF0BF1B39B4B0490157B0F98B0B35D75E0AC740A916B2BE25771BA3,158,6428,80834fe46a1c83d242fd14bc4097ca181d0e6deaac697feb66a87fac513d94ec,f34d5f2d4577ed6d9ceec516c1f5a744,2018-09-26T13:34:36Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator.exe,PE32+ executable (console) x86-64 Mono/.Net assembly; for MS Windows; 2 sections,3.0.0,T1C9045D62F3EC0914F0FF4B39B4B2460146F6B8875A75EB2D05E681ED1AB67818532773,176,13174,d9e7932ae98b3d386390d2b5128ff333ee21aa9833faebebbd1d1ccf1c121254,,2021-07-22T16:22:07Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator.exe,PE32+ executable (console) x86-64 Mono/.Net assembly; for MS Windows; 2 sections,3.0.1,T183045CA1B7DC0919F1FF4F39B4B1450247F1B88B4A79EB2D05E640EE0AB639186717A3,31,138,7fd1c496bdbe10d4d2a0df19dc5ecde26bcca83da5132e1e9491bbe5f3b7efeb,,2021-08-24T19:42:37Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator3.5.exe,PE32 executable (console) Intel 80386 Mono/.Net assembly; for MS Windows; 3 sections,2.1.1,T1BDB35CB1B7E44594F4BF473DB0B145024BB0B89B4A3ACB2E29C741BA49B27D15B31B93,0,N/A,50b585059b81f1d76d444c68f927c84304a1243af1c9eb959ea3cead43f3e98d,f34d5f2d4577ed6d9ceec516c1f5a744,2019-03-19T23:57:50Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator3.5.exe,PE32 executable (console) Intel 80386 Mono/.Net assembly; for MS Windows; 3 sections,2.1.0,T12FA34916BBF44549F0BF4A39A4B149024AF0F5DF1A3AE70E05C750AA15B37C68B71BA3,0,N/A,639afe079c52058aa61eb48f15a565abf661a119cee70d0b5708eaccaa79acc1,f34d5f2d4577ed6d9ceec516c1f5a744,2019-03-19T23:57:50Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator4.5.exe,PE32 executable (console) Intel 80386 Mono/.Net assembly; for MS Windows; 3 sections,2.1.0,T132A36B26BBF5414AF0EF0B39A4B1460156F0F8DB4A36E71E09C740AA15B67D58B31BB3,0,N/A,e5f709387a9ed25b9bc8febb6880be79eaefad4642c002d842b213c001c0eddf,f34d5f2d4577ed6d9ceec516c1f5a744,2019-03-19T23:57:50Z,https://github.com/0xbadjuju/Tokenvator
0xbadjuju/Tokenvator,Tokenvator4.5.exe,PE32 executable (console) Intel 80386 Mono/.Net assembly; for MS Windows; 3 sections,2.1.1,T119B34D61F7E94495F4FF4739B0F1491287B0B88B5A39DB2E2AC700A94AB27D14B31793,0,N/A,0f0ae44a5f69e3603fbf1c045ae44260781fae101ba04a6fbde66e224a06f695,f34d5f2d4577ed6d9ceec516c1f5a744,2019-03-19T23:57:50Z,https://github.com/0xbadjuju/Tokenvator
