Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,SHA256 Hash,Imphash,Date Added,Intel
jpillora/chisel,chisel.exe,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows, 11 sections",1.0.1,T1FB465CC1F99B15BAFB8B0E718CB2172D77315B0441B19E81EFB40A2DEC0739A163A395,192,3be6d638fa26e1854bbf6b7598d44734d3225449f2ce1edce7368d80b29d6e64,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-16T22:19:27Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows, 11 sections",1.0.1,T176761886B9A608DFD3EEC27588712720B732B47501707B93AF75022A1E57BAD6E7D340,222,37569a1f03f57f22a4754e0f50ccaf0efc352ddb8134dc1987f531eb69744f15,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-16T22:19:27Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows, 11 sections",1.1.0,T1A3565CC0FDAB19BACA8B4E314CB2531EB735671442F2EF81DB34093DE847265963A752,182,5f1ad8b3f7017810272d1bff6ffb8219327909fd143594651d65616726da2b5d,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-18T15:41:45Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows, 11 sections",1.1.0,T16E76298BB9A619DBC3DDC27089B15F14B671B59401713F83AF75023B2A97BA82B3D710,182,266ea05644c7a475b8967083a9afe2044a545edb6dccb3db28b4c2fbc4a5783f,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-18T15:41:45Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows, 11 sections",1.1.1,T1BC565CC0FDAB19BACA8B4E314CB2531EB735671442F2EF81DB34093DE847265963A752,181,4e7fe5c8310e166306f34745e692e1014aea04e1040c40d1483c1bc825e95ab5,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-19T00:19:16Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows, 11 sections",1.1.1,T1E076298BB9A619DBC3DDC27089B15F14B671B59401713F83AF75023B2A97BA82B3D710,182,b7895f99db3c55f44dd54e726149485e6e7e1ec7b1b38efd15b0cb745da6d158,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-19T00:19:16Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows, 11 sections",1.1.2,T106565BC0F99B18BACB878E314CB25719B731671402F2EF81EB340A7DED172659A39791,149,fcdad69d8f9f202ff5e47bb95c255bb8a6ec4432a241d651c83c794c5f796c6c,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-19T02:06:37Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows, 11 sections",1.1.2,T1B1761A87BDB649DBD3DDC27089B15B24B631B59401723B826F78113A2A97B993F3E310,168,c640f9c0c4da3209c498001e8a16a55424bcbcb736039d24f16434805d8f1db7,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-19T02:06:37Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows, 11 sections",1.1.3,T16C763A87FDA6499FC3DDC27489B16B18B672B5A401713F826F74013A2697F583B2E324,141,3720700accb409d19e35989a953865131a49c0bf5da908e50b8cef46e88eae00,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-20T05:08:49Z,https://github.com/jpillora/chisel
jpillora/chisel,chisel.exe,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows, 11 sections",1.1.3,T198564AC0F96B18BADB874F314CB2531DB731671442B2EF81EB78092DE90B296A739751,0,1267325b1e5bcfb8f88dc79d217fc76dcda0c873a772071cb6def5c81df1b887,7b0aea11265f18f3d6126046e1a0dcd1,2015-03-20T05:08:49Z,https://github.com/jpillora/chisel
