Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:c0ae2e2,T145E240213D4852F5830EC5B456927058F324429FBE83AC3C358EA5983F55BB8E2FE69D,0,N/A,0ecf854342163fc2d780c3b7ebed32300334ee67375619331da2d31908ca1917,N/A,2014-08-26T15:33:55Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:4a7d10d,T17BE240213D4852F5830EC5B456927058F324429FBE83AC3C358EA5983F55BB8E2FE69D,1,97,34b262a1bdba9022a698fb1643f170c48491670971ec3d72f863b5445bfcd68d,N/A,2014-08-27T10:54:52Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:8c2d1c1,T174E240213D4852F5830EC5B456927058F324429FBE83AC3C358EA5983F55BB8E2FE69D,1,65,397ad467bff753fd283ceac654ff7fdaed8c9a0a370a6bb853ac92fd90b3eb16,N/A,2014-08-28T17:18:37Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:d43cdae,T14EE240213C4852F5830EC5B456927058F324429FBE83AC3C358EA5983F55BB8E2FE69D,2,48,43c9dcfe15b177199d3754b38063b932291b2d687e072896d2cac114d9ab7875,N/A,2014-09-04T13:35:10Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:9a572ad,T132E240213C4852F5830EC5B456927058F324429FBE87AC3C358EA5983F55BB8E2FE69D,2,22,9d346e87549c9e573bbaaca7cb20630e7b7c231825753efc99ea45a750ddf02a,N/A,2014-09-04T18:40:02Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:c5b9e18,T1C8E240213D4852F5830EC5B456927058F324429FAE87AC3C358FA5983F55BB8E2FE29D,5,67,c93bb28453dc54ad336fd797adfb24fc996c5003fc0365c404061dd1b0a9331e,N/A,2014-09-08T12:17:53Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:29442cd,T1ACF240213D4852F9830EC5B456927058F324429FAD87AC3C358FA5983F55BB8E2FE29D,4,73,24c168ec40a40728da85c1eab6799fe2afe7f2536fa141d49739dfc0058cd96c,N/A,2014-09-08T13:13:51Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:6d1531a,T1D1F251213D4852F5830EC5B456927058F324429FAE87AC3C358FA5983F55BB8E2FE29D,5,89,0133cc8300020c0e9a7c92fff5f4fe2941166faa65bf5e6b999af17e057e3bae,N/A,2014-09-08T13:42:12Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:2373590,T11DF250213C4852F5830EC5B456927058F324429FAE87AC3D358FA5983F55BB8E2FE29D,4,16,82e4543ed79bce91096d43deeb95cbe6d5e59e5467bd74df372a2f529cadd99d,N/A,2014-09-08T13:51:11Z,https://github.com/CISOfy/lynis
CISOfy/lynis,lynis,POSIX shell script; ASCII text executable,git:9ed32c4,T1CBF240213C4852F5830EC5B456927058F324429FAE87AC3D358FA5983F55BB8E2FE29D,2,22,f750b93bca3f3cc2f68b7472afaa0c86d742c74a1fa01900227c71758cf64a42,N/A,2014-09-08T17:40:08Z,https://github.com/CISOfy/lynis
