Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
mythic,mythic-cli,Mach-O 64-bit arm64 executable; flags:<|DYLDLINK|PIE>,c52a6c66,T1CCF69D94B91CB452EAD979F47B6443907238EC449F81CB6B7218FB6DADF23548F22360,0,N/A,1d2bed4b6d4410464662bc83ff9f437650b2757ac53c8553519f72c2e58350bb,N/A,2025-09-06T07:12:29Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli,Mach-O 64-bit arm64 executable; flags:<|DYLDLINK|PIE>,c52a6c66,T1A3F69D94B91CB452EAD979F47B6443907238EC449F81CB6B7218FB6DADF23548F22360,0,N/A,7e03d7bf81c3898b9c453074df6f5398c9c835692aa4aaa007d83eb8f8ac688e,N/A,2025-09-06T07:12:31Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli,ELF 64-bit LSB executable; x86-64; version 1 (SYSV),c52a6c66,T10FF67C47F8A545E8C4EA963085768217BF717C494B3067D73B60F6282F77BD4AABA300,0,N/A,988f29fc1fa8b1023a8757e1353dc47e39f25a46f356cee1d2f2587b7564aba0,N/A,2025-09-06T07:12:32Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli,Mach-O 64-bit arm64 executable; flags:<|DYLDLINK|PIE>,64828ca2,T14BF69DD4B91CB452EED87AF47B6443947238EC458F81CA667114FBADAEF23548F22360,163,13639,ddb8d09ac571ff85b633ceb89afbee42b4e7563b9f2b4060a82e2fe34d80b1ab,N/A,2025-10-08T06:44:03Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli,Mach-O 64-bit arm64 executable; flags:<|DYLDLINK|PIE>,64828ca2,T111F69DD4B91CB452EED87AF47B6443947238EC458F81CA667114FBADAEF23548F22360,1,0,73ae3090def0e911b89f9715677beb12265c0ef3099cb0ffbb8e83279c5e88a0,N/A,2025-10-08T06:44:06Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli,ELF 64-bit LSB executable; x86-64; version 1 (SYSV),64828ca2,T1EAF67B47E89545E8C4EA9630C9769217BF71BC494B3067D32B60F6382F77BD46ABA300,178,0,d370dc1e2163f201071a656d34578e22f1ab4bc6def25c3ce34d7d1946de5332,N/A,2025-10-08T06:44:08Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli,Mach-O 64-bit arm64 executable; flags:<|DYLDLINK|PIE>,33d0e0b7,T11FF69DD4B91CB452EED87AF47B6443947238EC458F81CA667114FBADAEF23548F22360,178,49,7312e7a8415906c3c50254c01b3700ed661f883da0fff9b1893714740c318565,N/A,2025-10-09T06:44:11Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli,Mach-O 64-bit arm64 executable; flags:<|DYLDLINK|PIE>,33d0e0b7,T123F69DD4B91CB452EED87AF47B6443947238EC458F81CA667114FBADAEF23548F22360,1,0,53217f77470d45fe07cb7bacc03e1a4c575330d73dd4311fef9d1117f53bdb29,N/A,2025-10-09T06:44:14Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli,ELF 64-bit LSB executable; x86-64; version 1 (SYSV),33d0e0b7,T17BF67B47E89545E8C4EA9630C9769217BF71BC494B3067D32B60F6382F77BD46ABA300,178,0,633b213f029ead9929dc64eb28d4efe19989520d2a5548d76e714e11e3bd0b15,N/A,2025-10-09T06:44:17Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli.exe,PE32+ executable (console) x86-64; for MS Windows; 15 sections,c52a6c66,T19BF67C47E89505E9C5E99674C562D323BB717C448B3127D72B60FA382F77BD0AABA300,0,N/A,f1de09b6ec22155d4c54621628ca33f5a7697259593f6ba21fae693fa2418258,c2d457ad8ac36fc9f18d45bffcd450c2,2025-09-06T07:12:34Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli.exe,PE32+ executable (console) x86-64; for MS Windows; 15 sections,64828ca2,T1C5F67C47E89544E9C5EDD270C6A69213BB717C484B3127D72B60FA382F77BD06ABA310,17,13639,5eb892b2f306fc41c5675db43e4fef6544ccf249f6a89501429105660adc266c,,2025-10-08T06:44:10Z,https://github.com/its-a-feature/Mythic
mythic,mythic-cli.exe,PE32+ executable (console) x86-64; for MS Windows; 15 sections,33d0e0b7,T135F67C47E89544E9C5EDD270C6A69213BB717C484B3127D72B60FA382F77BD06ABA310,1,49,be558048f9c6a9dae41dc991896c666827ab1e2c514c20c5f7cdf446e5e3bbf9,,2025-10-09T06:44:20Z,https://github.com/its-a-feature/Mythic
