Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
samratashok/nishang,ActiveDirectory/Add-ConstrainedDelegationBackdoor.ps1,ASCII text,git:40e4636,T11FA19410B3460652D8A259DCFD1602977A2DD08B21B92A5CFAFD721937C3A4ECDF178E,0,N/A,c309bf6df2e9ed89a58607972bf86c27e38b4fb527a5e85fcf0e32960c788758,N/A,2018-11-27T07:54:47Z,https://github.com/samratashok/nishang
samratashok/nishang,ActiveDirectory/Add-ConstrainedDelegationBackdoor.ps1,ASCII text,git:0fea8b2,T1E5A1931072460652D8A259DCFD1602977A2D908B21B92A5CFAFD721937C3A0ECDF168E,7,6,696e2fc6d7ed8a7b1d2164958e35e3497e1af8e3f3240e04e6d10d28d53290b6,N/A,2018-11-29T07:15:07Z,https://github.com/samratashok/nishang
samratashok/nishang,ActiveDirectory/Set-DCShadowPermissions.ps1,Unicode text; UTF-8 (with BOM) text,git:65e8399,T1A70296157B48B6E52C938195F229C6C4CD78600B61FAB584F3EED6C0BF6945CCEA10EB,0,N/A,4997ffa2e9fa89bae221258e017b61d3ba945eb73e80641968243af6c8f2828b,N/A,2018-04-06T13:20:18Z,https://github.com/samratashok/nishang
samratashok/nishang,ActiveDirectory/Set-DCShadowPermissions.ps1,Unicode text; UTF-8 (with BOM) text,git:c3fdf5e,T1720296157B48B6E52C938095F229C6C4CC78501B61BEB584F3EED6C0BF6945CCEA10EB,7,34,f88af851a460760e4509d45726044a36cb5f2afa0422c88fcc85c9ae2e81e727,N/A,2018-06-07T03:56:34Z,https://github.com/samratashok/nishang
samratashok/nishang,Antak-WebShell/antak.aspx,HTML document; ASCII text,git:ff44751,T1C5C1091E4DEE963DC1535155EB7B41086B1312077234FCA0BB8CCE8A7FC485886716FA,0,N/A,48ab098fdf2df49cb79880d67daea425ce49166fb29535ff6c0ad3751fe77877,N/A,2014-06-04T05:19:34Z,https://github.com/samratashok/nishang
samratashok/nishang,Antak-WebShell/antak.aspx,HTML document; ASCII text; with very long lines (1117),git:b0055e9,T171220A1A58CE263582831129EBABA084672311475274BCF0BB9C8D45DF98C98D7B37FF,136,14373,54433dd57414773098a6d3292d262f91a6812855dfcbf8d421695608d1fad638,N/A,2015-08-19T10:56:26Z,https://github.com/samratashok/nishang
samratashok/nishang,Backdoors/Add-RegBackdoor.ps1,Unicode text; UTF-8 (with BOM) text,git:fc7dcba,T193118840C2305220D1D3F41C6AD29C256FBF52AF7531A325719CE808AF12B04C5AF5CF,0,N/A,51c7c93448ca4a42fa0c7863fa95229dd20b2e4f6e1d681926e8494c32cb2ff2,N/A,2016-01-02T13:30:13Z,https://github.com/samratashok/nishang
samratashok/nishang,Backdoors/Add-RegBackdoor.ps1,ASCII text,git:f4d7fda,T116018840C2205220D1D3F41C6AD29C256FBF52AF7531A325319CE808AF12B04C5AF5CF,0,N/A,660fd9d8f3e46c20510e6fa10bd80726fdfa671af42a498439a4d19cede1999f,N/A,2016-08-22T14:30:45Z,https://github.com/samratashok/nishang
samratashok/nishang,Backdoors/Add-RegBackdoor.ps1,ASCII text,git:e339693,T14831620382149320CAC6A4B86583CD325B3F565FB972B725316DE81C4B02B4C96FB9CB,180,1501,35118656a7dc5ba3bed51cc7ae965fc11f74e4fdb04043003b3c16a467ead67b,N/A,2017-03-20T04:45:32Z,https://github.com/samratashok/nishang
samratashok/nishang,Backdoors/Add-RegBackdoor.ps1,ASCII text,git:d745bdb,T1D831620382149320CAC6A4B86583CD325B3F565FB972B725316DE81C4B02B4C96FB9CB,180,4122,40d3e7f706306dec7546e1859ba4d6d4ab3095217f31d6e2e7dbec47ec02db3d,N/A,2017-12-18T05:32:15Z,https://github.com/samratashok/nishang
samratashok/nishang,Backdoors/Add-ScrnSaveBackdoor.ps1,Unicode text; UTF-8 (with BOM) text,git:9794ccd,T184A184215440C27946C678A568BBFCD4873E655F78B27111F94CF8189F03F28ABB67CA,0,N/A,8b7d546e8184c1fba8856b5875cfd2938f28195ae3a45a30d04e62d2ef24046e,N/A,2015-02-28T09:01:59Z,https://github.com/samratashok/nishang
samratashok/nishang,Backdoors/DNS_TXT_Pwnage.ps1,Unicode text; UTF-8 (with BOM) text; with CRLF line terminators,git:1bee06d,T1F552E9347B45059788B79598F45B9109FD3AB1A732A61840B9ECF5843F33E16DE30A8D,0,N/A,f08dd319b44b246226f479dd47cb19a5444f690080ab0875344fe9888cd74d4c,N/A,2014-05-19T11:56:56Z,https://github.com/samratashok/nishang
