Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
spellshift/realm,golem-aarch64-apple-darwin,Mach-O 64-bit arm64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v0.2.0,T171666C07B8DCBE1ADEDA8178488A8B565D27BC24895143033955331FBCF77EA2C25A7C,0,N/A,2c88e1f6b9260f9feb5443afbf874fbcb8e5c2f6270ec64bec6dc7946131ed4e,N/A,2025-02-01T23:40:19Z,https://github.com/spellshift/realm
spellshift/realm,golem-linux-x64,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v0.0.1,T1F5C5337255324AF7894316F0FE438D94687308062A6C650C5AC711ACF43EFEF69B7E6A,0,N/A,2cafecbcaa91e3eb042cbb653a6bf7cff3e00d828a4f6237b772e66fd56666a8,N/A,2023-03-02T22:12:51Z,https://github.com/spellshift/realm
spellshift/realm,golem-linux-x64,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v0.0.2,T148C62907F9F24E9CCD7DD930559FAA32AE207C198141A7133B9497232A33B617B1BAD4,471,26119,f48bfae0109671b9d39e4f1e2332162e02cb23730962464fde42b1c466434d7d,N/A,2023-10-30T03:34:35Z,https://github.com/spellshift/realm
spellshift/realm,golem-linux-x64,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v0.0.3,T161C63907F8A34E9CCDBDC930599FA632AE657C158141A31337C5A7232A37B717B1AAD0,24,172,b71c8d17d450f5913b91777bdd7ae681afcdd804fdb0df8964fa09146df63fdc,N/A,2023-11-06T01:17:53Z,https://github.com/spellshift/realm
spellshift/realm,golem-linux-x64,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v0.0.4,T155C60686F4A24EDEEDB9C830454FF632B5607C458D07F7172780A7623967A60EF1AAD0,106,14148,5e595e3d37015c99e47baa5a7eb6b443961c6f4c8abd41c58a82f13fd981f07b,N/A,2024-01-10T04:55:34Z,https://github.com/spellshift/realm
spellshift/realm,golem-linux-x64,ELF 64-bit LSB shared object; x86-64; version 1 (SYSV),v0.0.5,T1CFE65D47B4A109ADCCBDC8708A7FE232962D7C095151A32737C477512BB7AA06FE9BC4,227,15978,8f9aa85302a72a50dc370e24b8f45b5dd5c08d61b0b35dcceafc49b5df14e3f9,N/A,2024-01-31T23:02:44Z,https://github.com/spellshift/realm
spellshift/realm,golem-macos-x64,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|PIE|HAS_TLV_DESCRIPTORS>,v0.0.1,T19E6533F488779939CEE93C3C036A13764C5A5E5A499F7CFD4B6B6D8EC8201B5203849B,0,N/A,4523ebf7776c96b7b9d8b347eab9e0be8154b1ef4d574e63b0e89bf6f2005e7e,N/A,2023-03-02T22:12:51Z,https://github.com/spellshift/realm
spellshift/realm,golem-macos-x64,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v0.0.2,T1E1762A1FB151ADE0CD4A413006CBDB928A6B7C515752E3073FD4332E2E779E07EA6A86,501,26119,bb5279c1ff0159105954c904fcb320bff2bcaba43054389ef01fdb5bd72c694a,N/A,2023-10-30T03:34:35Z,https://github.com/spellshift/realm
spellshift/realm,golem-macos-x64,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v0.0.3,T10876F72BB470DDE8C986417006DBCB524A637C114651A30B7FD4776F2EB79E07E2BA82,87,172,9dd4487a99242b1020cf1cf7bbb4143219a58b5e90f37882206bdcd1fa21baca,N/A,2023-11-06T01:17:53Z,https://github.com/spellshift/realm
spellshift/realm,golem-macos-x64,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v0.0.4,T101761927B0529DE4C996917027CBCB534B73BC614A51A3073FD4372E2EB7AD06F29A06,61,14148,dea8c71e9831dbf1e6b703ee78c80adee8d369493f3c11f2895c3cb3c8b04b27,N/A,2024-01-10T04:55:34Z,https://github.com/spellshift/realm
spellshift/realm,golem-macos-x64,Mach-O 64-bit x86_64 executable; flags:<NOUNDEFS|DYLDLINK|TWOLEVEL|PIE|HAS_TLV_DESCRIPTORS>,v0.0.5,T1DB760827B050CDE4DA86817046CBC7524E637C614AB1A3673FD4732E2EB7DE07E29A46,35,15978,25d905ed46384a02f1a30dd4fe4ff8babc3b03b0bc2d51b7006cb2754c7069bf,N/A,2024-01-31T23:02:44Z,https://github.com/spellshift/realm
