Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
nccgroup/redsnarf,Invoke-Vnc.ps1,ASCII text,git:4d1f959,T1A6559D36861BBDBE2B6D3CC4D8052D850D2C29938628C558FFCC90B777E9568CD2DAB4,0,N/A,6d52cdd74edea68d55c596554f47eefee1efc213c5820d86e64de0853a4e46b3,N/A,2017-04-10T12:07:21Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,SessionGopher.ps1,ASCII text,git:b2f3d8d,T15903A6203AC883F51346B2AA8AF504B1F774A06B7C3B6D40B5ADC6C46F1257987F19DB,0,N/A,efeb405d3ba00dd4ead2706fce0b96b0a4def4a87efc92366911c9b11501f155,N/A,2017-04-09T09:22:20Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (304),git:104b2fe,T156B2E942934D606659C32FEE8A7052CC846EE5FA67733166FEC8DF08E2840527739DAD,0,N/A,1a584de402f0fec064da4d749750c65ca19ea6b9cb0a01b5497ab4f36443b964,N/A,2016-11-01T09:25:02Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:a6acf05,T1EDB2FA42924D646759C32FEE8A7092CCC46EE5BA67733565FEC8DF08E2840527339CAD,13,105,27a125bd288f52dc1cd260e32223ba89194500da4938c585aad0143516a796f7,N/A,2016-11-01T18:25:17Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:5440f2c,T181B2FA42924D646759C32FEE8A7092CCC46EE5BA67733565FEC8DF08E2840527339CAD,1,1,981fc4a609af83327359d93a0e545749897808dd745990645d223f0812a97e89,N/A,2016-11-02T06:16:13Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (304),git:1b95654,T1F6B2D942934D60A659C32FEE8A7042CC946EE5FA67733256FEC8DF14E2840127739DAD,32,284,e6e0e65bf09091aca553eaf319afe81d21ffc8b3a532768c585b6f0a57e38699,N/A,2016-11-04T12:34:06Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (304),git:0a6aea2,T185B2D942934D60A659C31FEE8A7042CC946EE5FA67733266FEC8DF14E2840127739DAD,3,3,35f8defeae75edb1407c4e46004cbffe12639b664152db66ee6662a74d6a9dd1,N/A,2016-11-04T12:44:40Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:4298732,T107B2C842924D606759C32FEE8A7052CCC46EE5BA67733666FEC8DF14E2840127339DAD,13,34,b029488dabd8c1844ced0757e9c7eb0f7a0ff8ae6c666dbf40ff91a79176e66f,N/A,2016-11-05T16:35:45Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:4d7d35d,T16AB2D842A24D606759C31FEE9A7042CCC46EE1BA67733665FEC8DF14E2840127339DAD,8,52,103d0478493dde6211db18de5883f1d456433d347fdbe5e48b8a25b5f08b0209,N/A,2016-11-09T09:32:55Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:cc4fb31,T196B2D842A24D606759C32FEE9A6042CCC46EE5BA67733665FEC8CF14E2840177339DAD,7,21,738cd3891103dcc9aa84f88ddf3d0e600695ec167f516d966808c9f5f014cbca,N/A,2016-11-09T09:44:02Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:2ed5761,T1A5B2D843A24D606759C32FEE9A6042CCC46EE5BA67733665FEC8CF14E2840167339DAD,3,2,61784d47234286b47c27d03455956bc9619eb9fb37cc4f80ec5f948fa696b606,N/A,2016-11-09T16:37:38Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:1cac62c,T1F4B2D842A24D606759C32FEE9A6042CCC46EE5BA67733665FEC8CF14E2840177339DAD,3,10,b24be498e07b149587a40d05edd767b14e6264d2112e93338497a665e5db7472,N/A,2016-11-10T08:19:33Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:2c96c6c,T1ABB2D842A24D606759C32FEE9A6042CCC46EE5BA67733665FEC8CF14E2840177339DAD,1,2,e36175c82e988a7b282d60eca4cfc042e666bb7bf11301c76e818616a135cb9e,N/A,2016-11-10T09:13:36Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:498af65,T1F8B2D842A24D606759C32FEE9A6042CCC46EE5BA67733665FEC8CF14E2840177339DAD,1,4,31bb791ce4dc26ff85802eb4a4203873cee871596c1f2b3690657cdea983f38a,N/A,2016-11-17T11:22:10Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:c88ecb5,T152D2E883934D606758C32FEE966052C8D42EE1F667733665FED8DF18E684012B3398AD,48,294,fcbfadc67a7a0e66b3310f246e1f4ad9926ed2064a57328793730dd89a9bfd66,N/A,2016-11-23T11:08:39Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:d9d0daa,T17AD2E883934D606758C32FEE966052C8D42EE1F667733665FED8DF18E684012B3398AD,1,4,0c1e3e2d9a1364a7a5c92174442dcf91ea133aedc9b4ce076d869c7bc89ed259,N/A,2016-11-23T15:19:19Z,https://github.com/nccgroup/redsnarf
nccgroup/redsnarf,redsnarf.py,Python script; ASCII text executable; with very long lines (301),git:f814c70,T122D2E883925D612759C32FFE966082D8D46EE1F662733215FED8CB18E684017B339C9E,23,119,15bc4f0da8d8d7550d554e0f2a24f5cc50de6ad8e130e05cf1cc9e606c2256cb,N/A,2016-11-29T11:57:52Z,https://github.com/nccgroup/redsnarf
