Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
BishopFox/sliver,artifacts/linux/sliver-client,ELF 64-bit LSB executable; x86-64; version 1 (SYSV),v1.1.0,T1FAF63A17F8D605E6C5BEE0348791A322BE7138A5C33477E35FD09A661B25BE4AA3D310,0,N/A,d9aed0841d035b87d0704adea17696271c1ea9623be005f29088c2e568f3d94d,N/A,2020-11-17T21:48:29Z,https://github.com/BishopFox/sliver
BishopFox/sliver,artifacts/linux/sliver-client,ELF 64-bit LSB executable; x86-64; version 1 (SYSV),v1.1.1,T1E7F62A17F8D505E6C5BEE0348791A322BE7138A5C33077E35FD09A661B65BE4AA3E310,6,4,13542139077aaafb5b95d2a870e97a44a26749d7b67fc39c519c6abdc57ced72,N/A,2020-11-18T20:00:09Z,https://github.com/BishopFox/sliver
BishopFox/sliver,artifacts/linux/sliver-client,ELF 64-bit LSB executable; x86-64; version 1 (SYSV),v1.2.0,T180F63C16F8D205E6C5BEF130C692E226BE717866C33077E35FD09A661A76BD4A63D300,36,1129,5eb945668dc71b53fc34e806e170adb6a6fe380f90a79930c47788aca7addbd1,N/A,2020-12-06T00:40:52Z,https://github.com/BishopFox/sliver
BishopFox/sliver,artifacts/macos/sliver-client,Mach-O 64-bit x86_64 executable,v1.1.0,T113073906F89245B6CAFDE13085A66222BB717855833077D74FE0DA612FA6FD06B7E310,0,N/A,c080516f450535fb07704c05b6f6cc3f045b8d6a71f34adf3b10596284a24351,N/A,2020-11-17T21:48:29Z,https://github.com/BishopFox/sliver
BishopFox/sliver,artifacts/macos/sliver-client,Mach-O 64-bit x86_64 executable,v1.1.1,T192074A06F89244E6C6FDE13485A66222BB713865833077D74FE0DA662EA6FD07B7D310,15,4,d218e6bdc7165a5a659146a933bf9ec25c41368a3177586c75843776e1f69a4f,N/A,2020-11-18T20:00:09Z,https://github.com/BishopFox/sliver
BishopFox/sliver,artifacts/macos/sliver-client,Mach-O 64-bit x86_64 executable,v1.2.0,T171073A06F8D104A5CABDE13089A6A222BB717855833177D74FE0D9662EB6FD07B7E310,18,1129,1f0f8e8c69fc9cf7275655e600e94f798d01b11eb27ed9993398ca349debe375,N/A,2020-12-06T00:40:52Z,https://github.com/BishopFox/sliver
BishopFox/sliver,artifacts/windows/sliver-client.exe,PE32+ executable (console) x86-64 (stripped to external PDB); for MS Windows; 6 sections,v1.1.0,T17DF64B16F8A204F6C5BDE030C292A222FE7138A583347BD75FD499561A65FE4BB3E710,0,N/A,e28b7bc02d08d0eb46428274c26c2a1a8b4210a7d8c40be479304f1ae1ba8cb3,93a138801d9601e4c36e6274c8b9d111,2020-11-17T21:48:29Z,https://github.com/BishopFox/sliver
BishopFox/sliver,artifacts/windows/sliver-client.exe,PE32+ executable (console) x86-64 (stripped to external PDB); for MS Windows; 6 sections,v1.1.1,T14FF64A56F8A200F6C5BDE030C292A222FE7138A583347BD75FD499561B65FE4BA3E710,6,4,8d541fa2b2b5e2f61f67e645b1ba4d14d1dfa23a89c8cbe7f74a956535a9c670,93a138801d9601e4c36e6274c8b9d111,2020-11-18T20:00:09Z,https://github.com/BishopFox/sliver
BishopFox/sliver,artifacts/windows/sliver-client.exe,PE32+ executable (console) x86-64 (stripped to external PDB); for MS Windows; 6 sections,v1.2.0,T12CF63B56F8A204F9C6BDF030C692A222FE7138A583307BD74FD499551A65FE0BA7E710,15,1129,11f7dca63c471c26f39633ae12f777774e4cc23046a2ef02cb12c8c93de00b68,93a138801d9601e4c36e6274c8b9d111,2020-12-06T00:40:52Z,https://github.com/BishopFox/sliver
BishopFox/sliver,linux/sliver-client,ELF 64-bit LSB executable; x86-64; version 1 (SYSV),v0.0.5-alpha,T13A964B17FC9104EAD5FEF07447966725BE7138E6833137A35FA08A961626FE46A3E300,0,N/A,c7044b51079120f906131cee54f2cb5e977d4a957f869141f63585421922961b,N/A,2019-05-31T21:37:53Z,https://github.com/BishopFox/sliver
